"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Congo, Dem. Rep.","COD","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.46594739","2.62310982","2.57012939","3.73353338","4.33564186","3.98558235","4.06210661","3.89384961","4.31254816","4.51133156","3.72224283","3.19435549","3.2215035","3.34057522","3.72520614","3.74785447","4.20027828","4.00057793","3.24127173","3.508039","3.97694445","3.86727977","3.9417696","3.68495083","",
"Congo, Rep.","COG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.50500846","2.18529987","1.70167828","1.91852403","1.92152369","1.71774101","1.70861316","1.90200174","2.2392714","2.1422224","1.85172856","1.75237322","1.90971065","1.94347155","1.97311735","2.45668483","2.59422994","2.36476016","1.75584984","2.34771276","4.01775074","3.46133351","2.30011368","3.29744148","",
"Colombia","COL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.63529348","5.94238281","5.73296595","5.77505445","5.79892111","6.06710577","6.33546638","6.49102163","6.84192181","7.31134558","7.07130194","6.78076792","6.74601603","7.01724052","7.18553209","7.52338505","7.53117037","7.67864323","7.71777487","7.83404827","8.69751263","9.14150524","7.59037256","8.15838146","8.14139366",
"Comoros","COM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.51525021","6.6571784","6.68594599","6.66024828","6.58576155","6.13142872","5.77341843","5.41753864","5.06897497","4.92694378","4.99181557","5.3021183","5.17354631","5.10299301","5.23849726","4.60089922","4.65263557","5.26807451","4.90318584","5.18044472","5.902421","6.46315002","8.47119522","6.55212021","",
"Cabo Verde","CPV","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.86025023","3.69652915","3.72489762","3.6274426","3.54616308","3.34086585","3.82406759","3.84218621","3.26951575","3.55867004","4.08085394","3.92527819","4.6740551","4.82468271","4.85231543","4.40073681","4.36134005","4.48070955","4.78548193","4.82431316","7.03399324","6.60773611","6.70243406","5.84791613","",
"Costa Rica","CRI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.56498718","6.47409868","6.8690877","6.9691925","6.63006067","6.66429663","6.93530846","6.99642611","7.4685483","7.86019182","8.02937698","8.12197781","7.78642273","7.68229342","7.66376209","7.59196186","7.31724358","7.04522991","7.28587723","7.2212491","7.82545757","7.61130476","7.18368196","6.8663702","",
"Caribbean small states","CSS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.22383834844841","4.17766539820508","4.47566075950158","4.42068457245091","4.51994843432133","4.5144342699148","4.47595023387942","4.46435832120333","4.27364887277393","5.25270674983499","5.09024252560069","4.92805720068269","4.90509279030931","5.02083084316236","5.02224439132029","5.38565779189487","5.79138891237426","5.97078497970675","5.94749460312322","6.08982716034103","6.8196371234781","6.45294655154764","5.57263990731395","5.48884993985442","",
"Cuba","CUB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.58189821","6.9820981","7.11481619","7.10295439","6.83178711","8.75525475","8.2719059","10.9674921","11.31422806","12.29053974","10.6880827","11.31298637","9.29940987","10.43099499","12.14121914","12.81404305","12.21769619","11.47201538","11.01842499","11.08501148","12.48641968","13.78746605","11.78773499","9.38383102","",
"Curacao","CUW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.30800056","5.33940458","5.61565971","5.63568783","5.40558147","5.43580961","5.46357489","5.35744858","6.01430845","6.46531534","6.50055742","6.43139076","6.53638792","6.92774534","6.93137264","6.79382181","6.65254688","6.62192535","6.78446245","6.99843168","8.64796448","8.87445068","8.27201366","8.11912918","",
"Czechia","CZE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.66916943","5.83479309","6.14656258","6.50168419","6.33308411","6.33529043","6.16489983","5.99029112","6.33855247","7.2650013","7.47836781","7.47281456","7.53974962","7.44831276","7.53919601","7.29346752","7.32258606","7.24190664","7.37173605","7.48754358","8.96995831","9.15420723","8.47063065","8.42677402","8.50710297",
"Germany","DEU","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.75930405","9.78105545","10.028965","10.22255325","9.97466278","10.1068058","9.96236897","9.83482933","10.03185749","10.97003078","10.8311739","10.52106953","10.59356213","10.7432127","10.76819706","10.92317677","10.97133732","11.05091095","11.18380833","11.42805386","12.46780777","12.72403336","12.44708347","11.74428654","12.26655293",
"Djibouti","DJI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.39641857","3.1960845","3.75243783","4.27048731","3.53544688","3.80321956","4.21972466","4.05262756","3.6125772","3.63905573","3.35699701","3.37387872","3.29730988","2.91782117","2.95930099","3.3475771","2.74166131","2.47976375","2.530864","2.41347837","2.33861232","2.87128091","2.52554536","2.28316021","",
